,id,age,gender,race,region,tv_show,frequency,to_eat_1,to_eat_2,to_eat_3,to_eat_4,to_eat_5,at_home_1,at_home_2,at_home_3,at_restaurant_1,at_restaurant_2,at_restaurant_3,cook_prep_1,cook_prep_2,cook_prep_3,fruits_1,fruits_2,fruits_3,genre_ids,genre_names
0,1,40-49,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,FIREFLY,1/WEEK ,ASPARAGUS ,CORN,CARROTS,SPINACH,BROCCOLI,LETTUCE (ANY KIND),CARROTS,SPINACH,ASPARAGUS,CORN,BROCCOLI,GRILLED,SAUTEED,BAKED,CHERRIES,BLUEBERRIES,PINEAPPLE,"[18, 10759, 10765]","['Drama', 'Action & Adventure', 'Sci-Fi & Fantasy']"
1,2,20-29,1,ASIAN;,MIDWEST,VINCENZO,4-5/WEEK,BROCCOLI,CAULIFLOWER,CORN,GREEN BEANS,PEAS,BROCCOLI,CORN,PEAS,BROCCOLI,CAULIFLOWER,CORN,FRIED/AIR-FRIED,GRILLED,SAUTEED,MANGOS,CHERRIES,ORANGES,"[10759, 35, 18]","['Action & Adventure', 'Comedy', 'Drama']"
2,3,40-49,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,TED LASSO,DAILY 6-7 WEEK ,BROCCOLI,CARROTS,GREEN BEANS,SPINACH,SQUASH,BROCCOLI,CARROTS,SQUASH,LETTUCE (ANY KIND),BROCCOLI,SPINACH,STEAMED,BAKED,,BANANAS,STRAWBERRIES,MANGOS,[35],['Comedy']
3,4,20-29,1,BLACK OR AFRICAN AMERICAN;,MIDWEST,SUCCESSION,2-3/WEEK,BROCCOLI,CARROTS,CORN,GREEN BEANS,CAULIFLOWER,BROCCOLI,CARROTS,CAULIFLOWER,BROCCOLI,CARROTS,GREEN BEANS,BAKED,FRIED/AIR-FRIED,STEAMED,BANANAS,STRAWBERRIES,ORANGES,"[18, 35]","['Drama', 'Comedy']"
4,5,30-39,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,CRITICAL ROLE,2-3/WEEK,CARROTS,SPINACH,SQUASH,CORN,CAULIFLOWER,SPINACH,CARROTS,BROCCOLI,SPINACH,CARROTS,SQUASH,BAKED,SAUTEED,,PEACHES,ORANGES,MANGOS,[10765],['Sci-Fi & Fantasy']
5,6,20-29,1,ASIAN;,MIDWEST,GOSSIP GIRL,4-5/WEEK,BROCCOLI,GREEN BEANS,LETTUCE (ANY KIND),CARROTS,CORN,BROCCOLI,SPINACH,CARROTS,BROCCOLI,CORN,GREEN BEANS,BAKED,FRIED/AIR-FRIED,SAUTEED,BANANAS,GRAPES,POMEGRANATES,"[18, 9648]","['Drama', 'Mystery']"
6,7,30-39,0,"CAUCASIAN, NON-HISPANIC;",MIDWEST,DEMON SLAYER,DAILY 6-7 WEEK ,SPINACH,CARROTS,CAULIFLOWER,BROCCOLI,GREEN BEANS,SPINACH,"MUSHROOMS, ONIONS, POTATOES!",,GREEN BEANS,CAULIFLOWER,"ASPARAGUS, POTATOES! ",BAKED,GRILLED,SAUTEED,BLACKBERRIES,BLUEBERRIES,RASPBERRIES,"[16, 10765, 10759]","['Animation', 'Sci-Fi & Fantasy', 'Action & Adventure']"
7,8,40-49,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,WEST WING,2-3/WEEK,BROCCOLI,CARROTS,LETTUCE (ANY KIND),SPINACH,CORN,CARROTS,SPINACH,LETTUCE (ANY KIND),SPINACH,,NONE,BAKED,,NONE,GRAPES,APPLES,BANANAS,[18],['Drama']
8,9,20-29,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,FRIENDS,4-5/WEEK,BROCCOLI,CARROTS,SPINACH,CORN,BRUSSELS SPROUTS,BROCCOLI,BRUSSEL SPROUTS,SPINACH,BRUSSEL SPROUTS ,,NONE,BAKED,,NONE,PINEAPPLE,ORANGES,BANANAS,"[35, 18]","['Comedy', 'Drama']"
9,10,50-65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,NCIS,DAILY 6-7 WEEK ,CARROTS,CORN,CAULIFLOWER,SQUASH,GREEN BEANS,CARROTS,CAULIFLOWER,LETTUCE (ANY KIND),LETTUCE (ANY KIND),CORN,,GRILLED,STEAMED,,APPLES,BANANAS,OTHER,"[80, 10759, 18]","['Crime', 'Action & Adventure', 'Drama']"
